x,y,z,vx,vy,vz,m,id
,,,,,,,1797
,,,,,,,3150
-0.19853674,0.71624613,-0.11931936,0.25038183,-0.18360065,-0.23419785,0.15625001E-04,4591
,,,,,,,5856
,,,,,,,6621
0.50457579,-1.1646422,-0.44901475,0.25171053,-0.72377092,-0.16498905,0.15625001E-04,8011
24.738230,-8.2806053,13.518661,0.76487713E-01,-0.27560916E-01,0.33524431E-01,0.15625001E-04,10466
-0.72243869E-01,-0.27988583,-0.52836782,-0.93400568,-0.20771079,-0.95629996,0.15625001E-04,16750
,,,,,,,19600
0.24479780,-0.78243756,-0.16965128,0.19558729,0.42026499,0.12957694,0.15625001E-04,22770
,,,,,,,23650
,,,,,,,26765
,,,,,,,26771
0.88493294,0.64725536,0.76053584,0.56650013,-0.19923162,0.97380780E-01,0.15625001E-04,29582
,,,,,,,34497
-1.0227143,0.94648534,-2.0575213,0.14838478,-0.33904504E-01,0.16913426,0.15625001E-04,35526
,,,,,,,38199
,,,,,,,46544
1.1837585,-1.3501295,-1.7820901,-0.23764184E-01,0.19193223,0.23250109,0.15625001E-04,46586
,,,,,,,47597
1.3735694,-1.0943897,-0.53195883E-01,0.85536456E-02,0.11256439,0.60442075E-01,0.15625001E-04,49827
0.21973774E-01,-0.27964455,-0.93656078E-01,0.55780405,-0.35298163,-0.76780564,0.15625001E-04,50170
,,,,,,,50534
,,,,,,,53000
-0.48380494,1.0677528,-0.84898633,0.40459147,0.42510420,-0.40202242,0.15625001E-04,54442
,,,,,,,57698
,,,,,,,57839
-0.65885556,0.28516397,-0.87934494,0.43971571,-0.32193743E-01,0.67746049,0.15625001E-04,59117
-0.84088475,0.42928132,-1.3931422,0.32363582,0.40324468E-01,0.55988592,0.15625001E-04,59636
,,,,,,,63358
