x,y,z,vx,vy,vz,m,id
,,,,,,,1797
,,,,,,,3150
-0.20450330,0.27405784,-0.15323001,0.89502376,-0.47325185,-0.16926228,0.15625001E-04,4591
,,,,,,,5856
,,,,,,,6621
-1.3785218,0.14727019,1.1560761,-0.37035987,0.12102188,0.30680794,0.15625001E-04,8011
10.096572,-3.2024837,6.2237797,0.26924744,-0.90906769E-01,0.14509042,0.15625001E-04,10466
-0.50742757,0.40180910,0.19203138,-0.10320541,0.73693120,1.1043602,0.15625001E-04,16750
,,,,,,,19600
0.55073732,-0.91122830,-0.80468908E-01,0.19327539,0.32949379,-0.14549823E-01,0.15625001E-04,22770
,,,,,,,23650
,,,,,,,26765
,,,,,,,26771
-0.45389181,-0.79594515E-01,-0.22842745,-0.47299048,0.98444265,0.60479617,0.15625001E-04,29582
,,,,,,,34497
-0.45472950,-0.60751528,0.62566049E-01,-0.65255564,-0.83957636,-0.85917823E-01,0.15625001E-04,35526
,,,,,,,38199
,,,,,,,46544
2.1733344,0.80507457E-01,0.76049083,0.18134724E-01,0.11185390,0.10642335,0.15625001E-04,46586
,,,,,,,47597
0.98137450,0.57666063,0.49400017,-0.54431552,-0.11069795,-0.18834433,0.15625001E-04,49827
-0.54429654E-01,0.60807538,0.16753307E-01,-0.30013561,-0.17195797,0.22378749,0.15625001E-04,50170
,,,,,,,50534
,,,,,,,53000
1.7159928,0.22633563,-0.35917422,0.33937198,-0.29571477,0.25514722,0.15625001E-04,54442
,,,,,,,57698
,,,,,,,57839
0.77711713,-1.1215591,0.10035352,0.21674837,-0.31765622,-0.27175531E-01,0.15625001E-04,59117
0.16411400,-1.9006202,0.21733317,-0.11660988,0.17629078,-0.15434264,0.15625001E-04,59636
4.3040290,4.1644883,2.5850835,-0.64136907E-01,-0.83560437E-01,-0.54110937E-01,0.15625001E-04,63358
