x,y,z,vx,vy,vz,m,id
0.49076113E-02,0.32247233,0.35261810E-01,-0.15614253,0.15151146,-0.45825422,0.15625001E-04,4591
-0.60019720,-0.13222234,1.0443337,-0.36864576,0.13371792,0.66603851,0.15625001E-04,8011
-0.16756283,-0.57534520E-01,0.37447327,0.98280942,0.51055133,0.35580912,0.15625001E-04,34497
-9.4724808,0.32716170E-01,-18.512238,-0.82344882E-01,0.49597370E-02,-0.13907157,0.15625001E-04,10466
0.58230901,-1.6317401,-1.4983963,-0.17837670,-0.20294169,-0.32355133,0.15625001E-04,16750
0.25906262,0.10749834,-0.74320179,-0.45454654,0.89311682E-01,1.1376022,0.15625001E-04,19600
1.4250396,-0.75267512,-0.73673892,-0.15831755,0.18502820,0.18657510,0.15625001E-04,22770
0.64892727,0.78409415,-0.69173914,-0.53791583,-0.41318560,0.57485896,0.15625001E-04,26765
0.88262516,0.92709732,1.0489484,0.25606191,-0.13143577,-0.69235153E-02,0.15625001E-04,29582
-1.1959049,0.72227463E-01,-1.9912727,-0.62530346E-01,0.48080146E-01,-0.25881225,0.15625001E-04,35526
0.44219854,1.4536159,0.55768114,-0.41529868E-01,0.40991089,0.34904170,0.15625001E-04,46544
0.31625229,-0.16346559,-0.29093906E-01,1.3289336,-0.17352998E-01,0.68829894,0.15625001E-04,46586
-0.22977997,0.68041021,-0.14924166,-0.53381556,-0.66524214,0.18524379,0.15625001E-04,47597
-0.50524879,-0.87161708,-1.1323307,0.21001212E-01,-0.18493016,-0.29543337,0.15625001E-04,49827
0.19543314,0.29124901,-0.26143366,0.60307550,0.10366952E-01,0.35411644,0.15625001E-04,50170
1.4785613,0.27078888,-0.26875049,0.56396797E-01,-0.32016766,0.31473744,0.15625001E-04,54442
-1.9302198,0.79878283,1.9478652,-0.14528471,0.96254833E-01,0.25082779,0.15625001E-04,59117
0.87002087,0.41532251,0.90701246,0.43295336,-0.23970846E-01,0.36334264,0.15625001E-04,59636
-0.46539137,3.1638100,1.5520202,0.48023588E-02,0.29190695,0.14551549,0.15625001E-04,63358
-2.3152804,-4.5636063,0.63308465,0.12714952,-0.27407842E-01,-0.14732665E-01,0.15625001E-04,5856
-0.63597906,0.29512504,1.0643421,-0.19056864,-0.19997969,-0.64605814,0.15625001E-04,6621
0.95343065,-1.9322829,0.44176874,-0.40899679,0.45636433,0.85676476E-01,0.15625001E-04,26771
0.16184409,0.64355642,1.2994611,-0.73649824E-01,-0.46022671,-0.33957151,0.15625001E-04,57839
-3.1300402,-1.3874333,1.4429487,0.30496943,0.34918390E-01,-0.15793408,0.15625001E-04,57698
-0.11080591,-1.1051117,4.5203261,-0.55412844E-01,0.68666004E-01,-0.24812740,0.15625001E-04,3150
-1.9531165,-0.36935374,-0.20559065,-0.73411930,-0.13918380,-0.75435936E-01,0.15625001E-04,23650
0.86209249,0.29711464,1.0690609,0.13796145,-0.23161358,0.45616161E-01,0.15625001E-04,38199
-0.95692351E-01,-0.76378512,0.85991299,-0.26378009E-01,0.41282922,-0.34973514,0.15625001E-04,53000
0.34485880,-2.6589162,-0.69997317,-0.31755161,0.31102611E-01,-0.15626366,0.15625001E-04,50534
-1.1524249,2.6742232,1.6760259,0.18374911,-0.19736862,-0.14185318,0.15625001E-04,1797
